仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
opencv/opencv,87610,C++,2026-05-23T12:00:02.458Z,Open Source <em>Computer</em> <em>Vision</em> Library,"opencv,c-plus-plus,computer-vision,deep-learning,image-processing",True,True,5108051,Public
jbhuang0604/awesome-<em>computer</em>-<em>vision</em>,23276,,2024-05-17T14:24:27.173Z,A curated list of awesome <em>computer</em> <em>vision</em> resources,,False,True,29357796,Public
niconielsen32/<em>ComputerVision</em>,1131,Jupyter Notebook,2024-03-17T22:45:44.099Z,,,False,True,293888219,Public
amusi/daily-paper-<em>computer</em>-<em>vision</em>,6760,,2023-07-08T08:14:09.981Z,记录每天整理的计算机视觉/深度学习/机器学习相关方向的论文,"machine-learning,computer-vision,deep-learning,paper,face-detection,object-detection",False,True,133543742,Public
open-mmlab/mmcv,6440,Python,2026-01-29T17:08:43.242Z,OpenMMLab <em>Computer</em> <em>Vision</em> Foundation,,False,True,145670155,Public
liuliu/ccv,7214,C++,2026-05-23T04:12:53.378Z,"C-based/Cached/Core <em>Computer</em> <em>Vision</em> Library, A Modern <em>Computer</em> <em>Vision</em> Library",,False,True,912896,Public
pytorch/<em>vision</em>,17691,Python,2026-05-22T12:18:39.379Z,"Datasets, Transforms and Models specific to <em>Computer</em> <em>Vision</em>","machine-learning,computer-vision",False,True,73328905,Public
ashishpatel26/500-AI-Machine-learning-Deep-learning-<em>Computer</em>-<em>vision</em>-NLP-Projects-with-code,33765,,2025-08-01T11:54:09.606Z,500 AI Machine learning Deep learning <em>Computer</em> <em>vision</em> NLP Projects with code,"python,nlp,data-science,machine-learning,awesome,computer-vision,deep-learning,artificial-intelligence,nlp-projects,machine-learning-projects,artificial-intelligence-projects,computer-vision-project,deep-learning-project",False,True,326174741,Public
roboflow/supervision,39513,Python,2026-05-22T21:05:58.815Z,We write your reusable <em>computer</em> <em>vision</em> tools. 💜,"python,tracking,machine-learning,computer-vision,deep-learning,metrics,tensorflow,image-processing,pytorch,video-processing,yolo,classification,coco,object-detection,hacktoberfest,pascal-voc,low-code,instance-segmentation,oriented-bounding-box",False,True,571613891,Public
alicevision/Alice<em>Vision</em>,3428,C++,2026-05-19T10:57:22.511Z,3D <em>Computer</em> <em>Vision</em> Framework,"ai,computer-vision,structure-from-motion,photogrammetry,3d-reconstruction,panorama-image,camera-tracking,3d-computer-vision,panorama-stitching,multiview-stereo,meshroom,alicevision,hdri-image",True,True,28635894,Public
roboflow/sports,4994,Python,2025-11-07T16:02:11.769Z,<em>computer</em> <em>vision</em> and sports,"visualization,tutorial,deep-neural-networks,computer-vision,deep-learning,sports,soccer,football-data,football,object-detection,sports-data,sports-analytics,image-embeddings,soccer-data,soccer-analytics,keypoint-detection",False,True,800021661,Public
Charmve/<em>computer</em>-<em>vision</em>-in-action,2848,Jupyter Notebook,2024-05-27T02:44:35.475Z,A <em>computer</em> <em>vision</em> closed-loop learning platform where code can be run interactively online. 学习闭环《计算机视觉实战演练：算法与应用》中文电子书、源码、读者交流社区（持续更新中 ..…,"machine-learning,tutorial,books,computer-vision,deep-learning,neural-network,notebook,jupyter-notebook,handbook,pytorch,transformer,ipynb,deep-learning-tutorial,computer-vision-algorithms,colab-notebook,in-action,charmve",True,True,362674457,Public
llSourcell/Learn_<em>Computer</em>_<em>Vision</em>,1126,,2021-08-12T07:50:43.151Z,"This is the curriculum for ""Learn <em>Computer</em> <em>Vision</em>"" by Siraj Raval on Youtube",,False,True,196923798,Public
khanhnamle1994/<em>computer-vision</em>,508,Jupyter Notebook,2018-02-08T05:28:44.430Z,Programming Assignments and Lectures for Stanford's CS 231: Convolutional Neural Networks for Visual Recognition,"computer-vision,deep-learning,imagenet,image-classification,convolutional-neural-networks,visual-recognition",False,True,115306919,Public
