仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
A-make/awesome-<em>control</em>-<em>theory</em>,793,,2025-05-15T10:15:40.644Z,Awesome resources for learning <em>control</em> <em>theory</em>,"awesome,awesome-list,control-systems,control-theory",False,True,294349619,Public
AlexandreSajus/Quadcopter-AI,241,Python,2023-09-30T10:14:31.705Z,<em>Controlling</em> a Rigidbody Quadcopter using <em>Control</em> <em>Theory</em> and Reinforcement Learning,"game,python,reinforcement-learning,physics,control-theory,rigidbody-physics",False,True,415162008,Public
Shunichi09/PythonLinearNonlinear<em>Control</em>,1025,Python,2021-08-23T12:57:01.278Z,PythonLinearNonLinearControl is a library implementing the linear and nonlinear <em>control</em> <em>theories</em> in python.,"reinforcement-learning,mpc,optimal-control,ddp,cem,model-predictive-control,model-based-rl,nmpc,nonlinear-control,ilqr,linear-control,mppi",False,True,161974754,Public
KenXiao1/momentum,423,TypeScript,2026-03-08T12:49:14.361Z,A self-<em>control</em> web app based on CTDP <em>theory</em>,,False,True,1026635701,Public
xym-ee/<em>control-theory</em>,93,Python,2026-04-14T03:11:08.293Z,【笔记】学习工程中用到的控制理论以及相关的基础数学、机器人控制理论与机器人开发技术,,False,True,420599444,Public
m-lundberg/simple-pid,902,Python,2024-07-21T13:26:58.862Z,A simple and easy to use PID controller in Python,"python,pid,control-theory,pid-controller",True,True,133025240,Public
eddardd/<em>Control-Theory</em>,32,Jupyter Notebook,2019-11-18T17:22:43.659Z,Tutorials on <em>Control</em> <em>Theory</em>,"python,feedback,matlab,ode,nonlinear-dynamics,optimal-control,control-theory,pid-controller,simulink-model,python-control,nonlinear-control,linear-control",False,True,124970032,Public
python-control/Slycot,151,Python,2025-11-15T12:24:18.732Z,Python wrapper for the Subroutine Library in Systems and <em>Control</em> <em>Theory</em> (SLICOT),python,False,True,66001480,Public
SergeiSa/<em>Control</em>-<em>Theory</em>-Slides-Spring-2021,25,Jupyter Notebook,2023-04-08T19:32:52.774Z,"Slides for <em>Control</em> <em>Theory</em>, Innopolis, 2021",,False,True,329089148,Public archive
DPritykin/<em>Control</em>-<em>Theory</em>-Course,30,Jupyter Notebook,2024-08-10T09:58:53.092Z,Lecture notes and exercises for <em>control</em> <em>theory</em> course,"jupyter-notebook,dynamical-systems,control-systems",False,True,461684744,Public
SergeiSa/<em>Control</em>-<em>Theory</em>-Slides-Spring-2022,16,Jupyter Notebook,2023-04-09T07:22:28.922Z,,,False,True,446720005,Public archive
jwiegley/<em>control-theory</em>,80,Haskell,2019-01-14T04:55:18.450Z,"<em>Control</em> <em>theory</em> in Haskell: Data structures, algorithms and adapters",,True,True,165596036,Public
adityam/stochastic-<em>control</em>,45,Jupyter Notebook,2026-05-11T01:18:19.692Z,Course notes for ECSE 506: Stochastic <em>Control</em> and Decision <em>Theory</em> ,,False,True,116263250,Public
