仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
diff-usion/Awesome-<em>Diffusion</em>-Models,12327,HTML,2024-08-01T07:11:20.373Z, A collection of resources and papers on <em>Diffusion</em> <em>Models</em>,"machine-learning,artificial-intelligence,generative-model,diffusion-models,score-matching,score-based",False,True,407722319,Public
CompVis/stable-<em>diffusion</em>,73045,Jupyter Notebook,2024-06-18T01:53:49.690Z,A latent text-to-image <em>diffusion</em> <em>model</em>,,False,True,523379232,Public
lllyasviel/ControlNet,33892,Python,2024-02-25T09:49:39.552Z,Let us control <em>diffusion</em> <em>models</em>!,,False,True,595893961,Public
huggingface/<em>diffusion</em>-models-class,4321,Jupyter Notebook,2026-04-17T09:17:00.159Z,Materials for the Hugging Face <em>Diffusion</em> <em>Models</em> Course,,False,True,550752161,Public
GuyTevet/motion-<em>diffusion</em>-<em>model</em>,4010,Python,2025-10-01T00:29:26.608Z,"The official PyTorch implementation of the paper ""Human Motion <em>Diffusion</em> <em>Model</em>""",,False,True,543082997,Public
modelscope/DiffSynth-Studio,12463,Python,2026-05-22T05:11:04.823Z,Enjoy the magic of <em>Diffusion</em> <em>models</em>!,,False,True,728770766,Public
dome272/<em>Diffusion</em>-Models-pytorch,1446,Python,2023-09-07T09:07:44.185Z,"Pytorch implementation of <em>Diffusion</em> <em>Models</em> (<a href=""https://arxiv.org/pdf/2006.11239.pdf"" rel=""nofollow"">https://arxiv.org/pdf/2006.11239.pdf</a>)",,False,True,500806492,Public
hojonathanho/<em>diffusion</em>,5212,Python,2023-08-29T16:48:57.041Z,Denoising <em>Diffusion</em> Probabilistic <em>Models</em>,,False,True,273370515,Public
CompVis/latent-<em>diffusion</em>,14037,Jupyter Notebook,2024-02-29T05:29:47.382Z,High-Resolution Image Synthesis with Latent <em>Diffusion</em> <em>Models</em>,,False,True,440244590,Public
YangLing0818/<em>Diffusion</em>-Models-Papers-Survey-Taxonomy,3345,,2025-09-27T02:49:32.034Z,"<em>Diffusion</em> <em>model</em> papers, survey, and taxonomy","survey,text-to-image,diffusion-models,text-to-video,stable-diffusion,text-to-3d",False,True,535691024,Public
ostris/ai-toolkit,10643,Python,2026-05-23T16:37:36.923Z,The ultimate training toolkit for finetuning <em>diffusion</em> <em>models</em>,,True,True,662724864,Public
lucidrains/denoising-<em>diffusion</em>-pytorch,10564,Python,2026-02-11T19:56:18.935Z,Implementation of Denoising <em>Diffusion</em> Probabilistic <em>Model</em> in Pytorch,"deep-learning,artificial-intelligence,generative-model,score-matching",False,True,290373506,Public
prophesier/diff-svc,2716,Jupyter Notebook,2026-04-18T07:42:44.529Z,Singing Voice Conversion via <em>diffusion</em> <em>model</em>,,False,True,555779476,Public
openai/point-e,6887,Python,2024-07-04T19:05:34.744Z,Point cloud <em>diffusion</em> for 3D <em>model</em> synthesis,,False,True,575048321,Public
zoubohao/Denoising<em>DiffusionProbabilityModel</em>-ddpm-,2173,Python,2023-04-24T07:52:06.298Z,This may be the simplest implement of DDPM. You can directly run Main.py to train the UNet on CIFAR-10 dataset and see the amazing proces…,ddpm,False,True,496056743,Public
Comfy-Org/ComfyUI,114174,Python,2026-05-23T09:22:38.386Z,"The most powerful and modular <em>diffusion</em> <em>model</em> GUI, api and backend with a graph/nodes interface.","python,ai,pytorch,comfy,stable-diffusion,comfyui",False,True,589831718,Public
ChenHsing/Awesome-Video-<em>Diffusion</em>-Models,2293,,2026-04-15T01:01:29.142Z,[CSUR] A Survey on Video <em>Diffusion</em> <em>Models</em>,"awesome,video,survey,awesome-list,video-editing,diffusion,diffusion-models,text-to-video,video-diffusion-model,video-diffusion",False,True,673277480,Public
Janspiry/Palette-Image-to-Image-<em>Diffusion</em>-Models,1815,Python,2023-07-07T13:46:24.623Z,Unofficial implementation of Palette: Image-to-Image <em>Diffusion</em> <em>Models</em> by Pytorch,"pytorch,implementation,ddp,image-restoration,diffusion-model,ddpm",False,True,468683110,Public
ermongroup/ddim,1825,Python,2024-07-26T09:07:25.366Z,Denoising <em>Diffusion</em> Implicit <em>Models</em>,,False,True,301561595,Public
yangqy1110/<em>Diffusion</em>-Models,982,Jupyter Notebook,2024-04-19T05:59:50.829Z,扩散模型原理和pytorch代码实现初学资料汇总,,False,True,528390376,Public
ZHZisZZ/dllm,2529,Python,2026-04-15T04:54:54.116Z,dLLM: Simple <em>Diffusion</em> Language <em>Modeling</em>,"nlp,llm,discrete-diffusion-models",False,True,1056460319,Public
