仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
alicezheng/<em>feature</em>-<em>engineering</em>-book,1496,Jupyter Notebook,2020-08-11T13:39:04.092Z,"Code repo for the book ""<em>Feature</em> <em>Engineering</em> for Machine Learning,"" by Alice Zheng and Amanda Casari, O'Reilly 2018",,False,True,98058482,Public
Yimeng-Zhang/<em>feature</em>-<em>engineering</em>-and-<em>feature</em>-selection,1648,Jupyter Notebook,2022-09-24T11:33:22.153Z,"A Guide for <em>Feature</em> <em>Engineering</em> and <em>Feature</em> Selection, with implementations and examples in Python.","python,machine-learning,data-mining,feature-selection,feature-extraction,feature-engineering",False,True,160048201,Public
krishnaik06/<em>Feature</em>-<em>Engineering</em>-Live-sessions,412,Jupyter Notebook,2021-09-02T12:08:28.811Z,,,False,True,279330810,Public
ashishpatel26/Amazing-<em>Feature</em>-<em>Engineering</em>,792,Jupyter Notebook,2025-06-29T09:32:25.282Z,<em>Feature</em> <em>engineering</em> is the process of using domain knowledge to extract features from raw data via data mining techniques. These features…,"data-science,machine-learning,data-mining,deep-learning,scikit-learn,data-visualization,feature-selection,feature-extraction,data-analysis,data-scientists,feature-engineering,features,feature-scaling",False,True,171455943,Public
WillKoehrsen/automated-<em>feature</em>-<em>engineering</em>,518,Jupyter Notebook,2019-02-08T14:47:37.511Z,Automated <em>feature</em> <em>engineering</em> in Python with Featuretools,,False,True,135774555,Public
solegalli/<em>feature</em>-<em>engineering</em>-for-machine-learning,411,Jupyter Notebook,2023-12-05T12:07:10.247Z,Code repository for the online course <em>Feature</em> <em>Engineering</em> for Machine Learning,"python,data-science,machine-learning,feature-extraction,feature-engineering",False,True,184386548,Public
aikho/awesome-<em>feature</em>-<em>engineering</em>,600,,2018-10-26T15:20:23.506Z,A curated list of resources dedicated to <em>Feature</em> <em>Engineering</em> Techniques for Machine Learning,"data-science,machine-learning,ai,feature-extraction,feature-engineering",False,True,143329936,Public
PacktPublishing/Python-<em>Feature</em>-<em>Engineering</em>-Cookbook,496,Jupyter Notebook,2026-03-02T10:25:48.474Z,"Python <em>Feature</em> <em>Engineering</em> Cookbook, published by Packt",,False,True,229727690,Public
Pysamlam/Tips-of-<em>Feature</em>-<em>engineering</em>,669,,2020-12-06T11:07:00.022Z,"A <em>feature</em> <em>engineering</em> kit for each issue, to give you a deeper and deeper understanding of the work of <em>feature</em> <em>engineering</em>!",,False,True,236435081,Public
alteryx/<em>featuretools</em>,7649,Python,2026-02-03T18:19:45.257Z,An open source python library for automated <em>feature</em> <em>engineering</em>,"python,data-science,machine-learning,scikit-learn,feature-engineering,automl,automated-machine-learning,automated-feature-engineering",False,True,102908804,Public
YC-Coder-Chen/<em>feature</em>-<em>engineering</em>-handbook,333,Jupyter Notebook,2020-07-18T02:41:38.479Z,A practical <em>feature</em> <em>engineering</em> handbook,"machine-learning,feature-engineering",False,True,233149669,Public
PacktPublishing/<em>Feature</em>-<em>Engineering</em>-Made-Easy,218,Jupyter Notebook,2023-01-30T04:13:40.809Z,"<em>Feature</em> <em>Engineering</em> Made Easy, published by Packt",,False,True,118756625,Public
rasgointelligence/<em>feature</em>-<em>engineering</em>-tutorials,291,Jupyter Notebook,2026-01-12T10:51:36.589Z,Data Science <em>Feature</em> <em>Engineering</em> and Selection Tutorials,"python,data-science,machine-learning,tutorial,jupyter,notebook,scikit-learn,exploratory-data-analysis,tutorials,pandas,feature-selection,xgboost,feature-engineering,features,data-cleaning,pandas-profiling,sweetviz,pyrasgo",False,True,365313678,Public
krishnaik06/5-Days-Live-EDA-and-<em>Feature</em>-<em>Engineering</em>,216,Jupyter Notebook,2024-01-15T16:38:55.152Z,,,False,True,460357208,Public
krishnaik06/Complete-<em>Feature</em>-<em>Engineering</em>,91,Jupyter Notebook,2019-09-12T07:40:18.538Z,,,False,True,207992571,Public
fuqiuai/sklearn-<em>feature</em>-<em>engineering</em>,177,Python,2018-07-19T08:03:30.795Z,使用sklearn做特征工程,"sklearn,kaggle,feature-engineering",False,True,113275187,Public
trainindata/<em>feature</em>-<em>engineering</em>-for-time-series-forecasting,203,Jupyter Notebook,2023-12-06T10:10:33.358Z,"Code repository for the online course ""<em>Feature</em> <em>Engineering</em> for Time Series Forecasting"".","machine-learning,time-series,forecasting,time-series-analysis,forecasting-time-series",False,True,333085820,Public
noisyoscillator/<em>Feature-Engineering</em>,3,Jupyter Notebook,2018-12-05T09:07:07.515Z,,,False,False,160958077,Public
data-bootcamp-v4/lab-<em>feature</em>-<em>engineering</em>,0,Jupyter Notebook,2024-08-15T15:28:39.891Z,,,False,True,781461521,Public
venkatreddy09/<em>Feature-Engineering</em>,49,Jupyter Notebook,2019-12-28T13:14:29.854Z,<em>Feature</em> <em>Engineering</em> concepts by Krish Naik,,False,True,230611838,Public
ironhack-labs/lab-<em>feature</em>-<em>engineering</em>,0,,2024-08-16T14:27:21.415Z,,,False,True,313071166,Public
jo-cho/Technical_Analysis_and_<em>Feature</em>_<em>Engineering</em>,201,Jupyter Notebook,2024-02-16T04:20:57.923Z,<em>Feature</em> <em>Engineering</em> and <em>Feature</em> Importance in Machine Learning for Financial Markets,"feature-engineering,algorithmic-trading",False,True,364537909,Public
raytroop/<em>FeatureEngineering</em>,33,Jupyter Notebook,2024-01-25T12:34:19.955Z,"<em>Feature</em> <em>Engineering</em> for Machine Learning, Soledad Galli",,False,True,149967337,Public
feature-engine/<em>feature</em>_engine,2242,Python,2026-03-28T14:24:33.645Z,<em>Feature</em> <em>engineering</em> and selection open-source Python library compatible with sklearn.,"python,data-science,machine-learning,scikit-learn,feature-selection,feature-extraction,feature-engineering",False,True,163630824,Public
commit-live-students/<em>feature</em>_<em>engineering</em>_project,4,Python,2019-01-18T21:55:11.273Z,,,False,True,105642466,Public
linkedin/<em>Feature</em>Fu,570,Java,2020-12-16T22:34:16.538Z,Library and tools for advanced <em>feature</em> <em>engineering</em>,,False,True,34357546,Public
HOXOMInc/<em>feature</em>-<em>engineering</em>-book,84,Jupyter Notebook,2019-10-09T09:34:33.876Z,『機械学習のための特徴量エンジニアリング』のサンプルコード集,,False,True,155795798,Public
PacktPublishing/Python-<em>Feature</em>-<em>Engineering</em>-Cookbook-Second-Edition,87,Jupyter Notebook,2026-03-02T10:49:13.798Z,"Python <em>Feature</em> <em>Engineering</em> Cookbook Second Edition, published by Packt",,False,True,465223559,Public
EmilHvitfeldt/<em>feature</em>-<em>engineering</em>-az,161,HTML,2026-04-21T15:08:37.932Z,"Source for book ""<em>Feature</em> <em>Engineering</em> A-Z""","machine-learning,feature-selection,feature-extraction,feature-engineering,scikit,tidymodels",False,True,438091405,Public
sinanuozdemir/<em>feature</em>_<em>engineering</em>_bookcamp,67,Jupyter Notebook,2026-02-17T16:18:01.350Z,,,False,True,376079634,Public
MaartenGr/<em>feature-engineering</em>,53,Jupyter Notebook,2020-08-25T07:37:41.038Z,Tips for Advanced <em>Feature</em> <em>Engineering</em>,,False,True,201472808,Public
learn-co-curriculum/dsc-<em>feature</em>-<em>engineering</em>-for-text-data,2,Jupyter Notebook,2023-08-25T19:52:00.341Z,,v2-4,False,True,190613152,Public
alteryx/Automated-Manual-Comparison,324,Jupyter Notebook,2020-06-30T14:39:26.648Z,Automated vs Manual <em>Feature</em> <em>Engineering</em> Comparison. Implemented using Featuretools.,,False,True,143763186,Public
microsoft/nni,14357,Python,2024-07-03T10:55:10.657Z,"An open source AutoML toolkit for automate machine learning lifecycle, including <em>feature</em> <em>engineering</em>, neural architecture search, model c…","python,data-science,machine-learning,deep-learning,neural-network,tensorflow,machine-learning-algorithms,pytorch,distributed,hyperparameter-optimization,feature-engineering,nas,bayesian-optimization,hyperparameter-tuning,automl,automated-machine-learning,model-compression,neural-architecture-search,deep-neural-network,mlops",False,True,135673451,Public archive
PacktPublishing/Python-<em>Feature</em>-<em>Engineering</em>-Cookbook-Third-Edition,69,Jupyter Notebook,2026-03-02T14:23:52.007Z,"Python <em>Feature</em> <em>Engineering</em> Cookbook, Third Edition, published by Packt",,False,True,754144961,Public
yangxudong/<em>feature</em>_<em>engineering</em>,75,Python,2023-09-21T10:00:13.034Z,,,False,True,494683965,Public
asavinov/intelligent-trading-bot,1700,Python,2026-05-18T10:45:11.790Z,Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and <em>feature</em> <em>engineering</em>,"machine-learning,crypto,bitcoin,trading,artificial-intelligence,cryptocurrency,feature-engineering,algorithmic-trading,crypto-trading,trading-bots",False,True,420628968,Public
mljar/mljar-supervised,3260,Python,2026-05-22T16:00:20.353Z,"Python package for AutoML on Tabular Data with <em>Feature</em> <em>Engineering</em>, Hyper-Parameters Tuning, Explanations and Automatic Documentation","data-science,machine-learning,neural-network,random-forest,scikit-learn,xgboost,hyperparameter-optimization,lightgbm,ensemble,feature-engineering,decision-tree,hyper-parameters,automl,automated-machine-learning,catboost,mljar,automl-api,automl-python",False,True,156218203,Public
hjeffreywang/Stock_<em>feature</em>_<em>engineering</em>,75,Jupyter Notebook,2020-05-23T04:20:18.832Z,"Created a continuous, homogeneous, and structured 10 GB dataset from self obtained collections of unstructured intraday financial data. G…",,False,True,254432892,Public
tidymodels/recipes,614,R,2026-04-02T18:25:43.530Z,Pipeable steps for <em>feature</em> <em>engineering</em> and data preprocessing to prepare for modeling,,False,True,76614863,Public
cod3licious/autofeat,538,Python,2026-01-06T22:56:18.562Z,Linear Prediction Model with Automated <em>Feature</em> <em>Engineering</em> and Selection Capabilities,"machine-learning,linear-regression,feature-selection,feature-engineering,automl,automated-machine-learning,machine-learning-models,automated-data-science,automated-feature-engineering",False,True,167006843,Public
risenW/Practical_<em>feature</em>_<em>engineering</em>_guide,23,Jupyter Notebook,2019-12-24T23:38:36.582Z,A detailed guide to <em>feature</em> <em>engineering</em> for machine learning in Python,,False,True,230014370,Public
HanXiaoyang/<em>Feature</em>_<em>Engineering</em>_and_XGBoost_Parameter_Tuning,48,Jupyter Notebook,2016-08-13T11:18:55.596Z,Examples of how to do <em>feature</em> <em>engineering</em> and Xgboost parameter tuning,,False,True,65613126,Public
dipanjanS/<em>feature</em>_<em>engineering</em>_session_dhs18,30,Jupyter Notebook,2020-12-24T15:45:17.768Z,"Contains code and presentation for my interactive hack session, 'Effective <em>Feature</em> <em>Engineering</em>: A Structured Approach to Building Better …",,False,True,157838602,Public
solegalli/Python-<em>Feature</em>-<em>Engineering</em>-Cookbook-First-Edition,33,Jupyter Notebook,2024-05-27T08:23:43.521Z,,,False,True,187638053,Public
LinkedInLearning/applied-machine-learning-<em>feature</em>-<em>engineering</em>-3809062,14,Jupyter Notebook,2024-04-15T18:06:09.776Z,This repo is for linkedin learning course: Applied Machine Learning: <em>Feature</em> <em>Engineering</em> [Revision 2024 Q3],,False,True,745651130,Public
xiaoganghan/awesome-<em>feature</em>-<em>engineering</em>,50,,2017-04-11T06:52:22.763Z,A curated list of <em>feature</em> <em>engineering</em> techniques for image and text machine learning,"machine-learning,deep-learning,feature-engineering",False,True,83397288,Public
alteryx/open_source_demos,504,Jupyter Notebook,2023-08-07T18:53:55.524Z,A collection of demos showcasing automated <em>feature</em> <em>engineering</em> and machine learning in diverse use cases,"python,data-science,machine-learning,tutorial,compose,feature-engineering,featuretools,evalml",False,True,114042319,Public
Sundar0989/XuniVerse,117,Jupyter Notebook,2023-05-13T16:48:40.569Z,xverse (XuniVerse) is collection of transformers for <em>feature</em> <em>engineering</em> and <em>feature</em> selection,,False,True,227759629,Public
muzixiang/EEG_Emotion_<em>Feature</em>_<em>Engineering</em>,28,Python,2018-01-19T13:07:30.498Z,,,False,True,106148447,Public
