仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
pyg-team/pytorch_geometric,23780,Python,2026-05-18T18:21:38.200Z,<em>Graph</em> <em>Neural</em> <em>Network</em> Library for PyTorch,"deep-learning,pytorch,graph-convolutional-networks,geometric-deep-learning,graph-neural-networks",False,True,106024057,Public
thunlp/GNNPapers,16781,,2023-12-20T03:33:14.872Z,Must-read papers on <em>graph</em> <em>neural</em> <em>networks</em> (GNN),"paper-list,gnn",False,True,162940724,Public
TrustAGI-Lab/Awesome-<em>Graph</em>-<em>Neural</em>-<em>Networks</em>,2302,,2023-12-29T15:02:47.514Z,Paper Lists for <em>Graph</em> <em>Neural</em> <em>Networks</em>,"deep-learning,convolutional-networks,graph-attention,graph-network,generated-graphs,graph-auto-encoder",False,True,163639171,Public
SeongokRyu/<em>Graph-neural-networks</em>,525,Jupyter Notebook,2019-02-18T15:13:16.245Z,,,False,True,147349453,Public
PacktPublishing/Hands-On-<em>Graph</em>-<em>Neural</em>-<em>Networks</em>-Using-Python,1046,Jupyter Notebook,2026-05-07T12:21:12.581Z,"Hands-On <em>Graph</em> <em>Neural</em> <em>Networks</em> Using Python, published by Packt",,False,True,494459724,Public
graphdeeplearning/benchmarking-gnns,2656,Jupyter Notebook,2023-06-22T04:03:53.392Z,Repository for benchmarking <em>graph</em> <em>neural</em> <em>networks</em> (JMLR 2023),"deep-learning,pytorch,benchmark-framework,graph-neural-networks,graph-representation-learning,dgl,graph-deep-learning",False,True,244534808,Public
Jhy1993/HAN,1209,Python,2020-05-06T15:46:06.251Z,Heterogeneous <em>Graph</em> <em>Neural</em> <em>Network</em>,"heterogeneous-network,network-embedding,graph-neural-network,heterogeneous-graph,graph-attention-network,heterogeneous-graph-neural-network",False,True,169510341,Public
weihua916/powerful-gnns,1282,Python,2021-07-01T16:45:36.826Z,How Powerful are <em>Graph</em> <em>Neural</em> <em>Networks</em>?,"deep-learning,graph-neural-networks,graph-convolutional-neural-networks",False,True,163207514,Public
danielegrattarola/spektral,2396,Python,2024-01-21T16:47:04.530Z,<em>Graph</em> <em>Neural</em> <em>Networks</em> with Keras and Tensorflow 2.,"python,deep-learning,tensorflow,keras,graph-neural-networks,tensorflow2,graph-deep-learning",False,True,166213444,Public
magicleap/SuperGluePretrainedNetwork,4014,Python,2024-08-30T23:50:47.323Z,"SuperGlue: Learning Feature Matching with <em>Graph</em> <em>Neural</em> <em>Networks</em> (CVPR 2020, Oral)","deep-learning,pose-estimation,feature-matching,graph-neural-networks",False,True,248056757,Public
microsoft/tf-gnn-samples,933,Python,2022-11-28T19:09:39.950Z,TensorFlow implementations of <em>Graph</em> <em>Neural</em> <em>Networks</em>,,False,True,193381680,Public
JuliaGraphs/<em>GraphNeuralNetworks</em>.jl,302,Julia,2026-05-07T11:55:46.976Z,<em>Graph</em> <em>Neural</em> <em>Networks</em> in Julia,"machine-learning,deep-learning,graphs,julia,graph-neural-networks",False,True,401227898,Public
microsoft/gated-<em>graph</em>-<em>neural</em>-network-samples,1029,Python,2019-10-10T09:27:16.517Z,Sample Code for Gated <em>Graph</em> <em>Neural</em> <em>Networks</em>,,False,True,110565580,Public archive
alelab-upenn/<em>graph-neural-networks</em>,272,Python,2024-07-21T22:17:49.492Z,Library to implement <em>graph</em> <em>neural</em> <em>networks</em> in PyTorch,,False,True,196290275,Public
alibaba/<em>graph</em>-learn,1341,C++,2025-07-04T08:52:27.902Z,An Industrial <em>Graph</em> <em>Neural</em> <em>Network</em> Framework,"training,graph,tensorflow,pytorch,graph-neural-networks,gnn,aligraph,graphlearn,dynamic-graph,gnn-framework,gnn-inference,dynamic-graph-service",False,True,250229724,Public
DeepGraphLearning/GMNN,412,Python,2020-07-08T11:48:39.654Z,<em>Graph</em> Markov <em>Neural</em> <em>Networks</em>,,False,True,186438621,Public
snap-stanford/pretrain-gnns,1061,Python,2023-07-29T06:21:39.861Z,Strategies for Pre-training <em>Graph</em> <em>Neural</em> <em>Networks</em>,"graph-neural-networks,graph-representation-learning",False,True,237315947,Public
txie-93/cgcnn,869,Python,2021-09-06T05:23:51.131Z,Crystal <em>graph</em> convolutional <em>neural</em> <em>networks</em> for predicting material properties.,,False,True,125271063,Public
mdeff/cnn_<em>graph</em>,1370,Jupyter Notebook,2020-06-13T21:47:49.119Z,Convolutional <em>Neural</em> <em>Networks</em> on <em>Graphs</em> with Fast Localized Spectral Filtering,"deep-learning,graphs,convolutional-neural-networks,graph-signal-processing,graph-neural-networks",True,True,68138233,Public
snap-stanford/<em>Graph</em>Gym,1891,Python,2023-11-10T05:37:18.598Z,Platform for designing and evaluating <em>Graph</em> <em>Neural</em> <em>Networks</em> (GNN),,False,True,303907761,Public
c2g-dev/city2<em>graph</em>,1205,Python,2026-05-21T16:43:19.199Z,Transform geospatial relations into <em>graphs</em> for <em>Graph</em> <em>Neural</em> <em>Networks</em> and <em>network</em> analysis,"python,transportation,geospatial,gis,pytorch,spatial-analysis,geographical-information-system,network-analysis,mobility,geospatial-analysis,pyg,good-first-issue,graph-neural-networks,geographic-data-science,graph-representation-learning,pytorch-geometric,gnn,geoai,urban-morphometrics,overturemaps",False,True,918287261,Public
JiaxuanYou/P-GNN,404,Python,2020-10-12T05:16:06.400Z,Position-aware <em>Graph</em> <em>Neural</em> <em>Networks</em>,,False,True,186498525,Public
guillaumejaume/<em>graph</em>-<em>neural</em>-<em>networks</em>-roadmap,221,,2019-12-13T08:49:54.764Z,,,False,True,163003155,Public
facebookresearch/hgnn,250,Python,2019-10-26T14:10:01.960Z,Hyperbolic <em>Graph</em> <em>Neural</em> <em>Networks</em>,,False,True,217580443,Public archive
fmonti/mgcnn,255,Jupyter Notebook,2018-04-13T14:27:39.280Z,Multi-<em>Graph</em> Convolutional <em>Neural</em> <em>Networks</em>,,False,True,106132433,Public
jdlc105/Must-read-papers-and-continuous-tracking-on-<em>Graph</em>-<em>Neural</em>-Network-GNN-progress,767,,2023-09-18T22:09:04.607Z,Papers on <em>Graph</em> <em>neural</em> <em>network</em>(GNN) ,,False,True,161289710,Public
ifding/<em>graph-neural-networks</em>,129,Python,2018-04-27T18:43:42.803Z,<em>Graph</em> <em>Neural</em> <em>Networks</em> for Quantum Chemistry,,False,True,124090390,Public
lrjconan/GRAN,479,C++,2023-08-03T03:21:22.449Z,"Efficient <em>Graph</em> Generation with <em>Graph</em> Recurrent Attention <em>Networks</em>, Deep Generative Model of <em>Graphs</em>, <em>Graph</em> <em>Neural</em> <em>Networks</em>, NeurIPS 2019","generative-model,graph-generation,graph-neural-networks,deep-generative-model,neurips-2019",False,True,210967111,Public
MolecularAI/<em>Graph</em>INVENT,380,Python,2023-03-11T11:55:32.069Z,<em>Graph</em> <em>neural</em> <em>networks</em> for molecular design.,,False,False,289293101,Public archive
google-deepmind/jraph,1470,Python,2024-03-18T13:56:39.851Z,A <em>Graph</em> <em>Neural</em> <em>Network</em> Library in Jax,"machine-learning,deep-learning,jax,graph-neural-networks",False,True,315278570,Public archive
FilippoMB/Spectral-Clustering-with-<em>Graph</em>-<em>Neural</em>-<em>Networks</em>-for-<em>Graph</em>-Pooling,278,Python,2025-03-15T11:57:58.676Z,"Reproduces the results of MinCutPool as presented in the 2020 ICML paper ""Spectral Clustering with <em>Graph</em> <em>Neural</em> <em>Networks</em> for <em>Graph</em> Pooling"".","unsupervised-learning,spectral-clustering,graph-neural-networks,graph-pooling",False,True,269662909,Public
yujiali/ggnn,276,Lua,2018-09-19T07:36:10.926Z,Gated <em>Graph</em> Sequence <em>Neural</em> <em>Networks</em>,,False,True,57346085,Public
zhiyongc/<em>Graph</em>_Convolutional_LSTM,413,Jupyter Notebook,2019-12-11T09:05:48.129Z,Traffic <em>Graph</em> Convolutional Recurrent <em>Neural</em> <em>Network</em>,"graph,lstm,graph-convolutional-networks,traffic-prediction,traffic-flow-prediction,traffic-graph-convolution,traffic-forecasting",False,True,116294541,Public
awslabs/dgl-lifesci,803,Python,2023-11-01T19:32:07.647Z,Python package for <em>graph</em> <em>neural</em> <em>networks</em> in chemistry and biology,"bioinformatics,deep-learning,cheminformatics,molecule,drug-discovery,geometric-deep-learning,graph-neural-networks,dgl",False,True,258124207,Public
Jhy1993/Awesome-GNN-Recommendation,268,,2021-08-06T01:24:33.169Z,<em>Graph</em> <em>Neural</em> <em>Network</em>,"graph,recommendation-system,graph-neural-networks",False,True,296065614,Public
dglai/<em>Graph</em>-<em>Neural</em>-<em>Networks</em>-in-Life-Sciences,218,Jupyter Notebook,2022-10-15T13:23:05.518Z,,,False,True,514069603,Public
wenqifan03/<em>Graph</em>Rec-WWW19,385,Python,2020-11-21T22:19:40.836Z,"<em>Graph</em> <em>Neural</em> <em>Networks</em> for Social Recommendation, WWW'19","social-network,pytorch,recommender-systems,graphrec,socal-recommendation,deep-social-recommendations",False,False,223457023,Public
ChandlerBang/awesome-self-supervised-gnn,1725,Python,2024-02-02T14:48:59.107Z,Papers about pretraining and self-supervised learning on <em>Graph</em> <em>Neural</em> <em>Networks</em> (GNN).,"machine-learning,deep-learning,graph-mining,graph-neural-networks,self-supervised-learning,pre-training,pretraining,graph-self-supervised-learning",False,True,267196339,Public
dbusbridge/gcn_tutorial,318,Python,2020-10-08T11:27:56.168Z,A tutorial on <em>Graph</em> Convolutional <em>Neural</em> <em>Networks</em>,,False,True,100014418,Public
je-dbl/GNN-RecSys,296,Python,2021-09-15T20:27:30.056Z,<em>Graph</em> <em>Neural</em> <em>Networks</em> for Recommender Systems,,False,True,337213295,Public
microsoft/tf2-gnn,375,Python,2023-07-13T14:15:25.772Z,TensorFlow 2 library implementing <em>Graph</em> <em>Neural</em> <em>Networks</em>,,False,True,242964823,Public
bmsookim/<em>graph</em>-cnn.pytorch,330,Python,2018-08-03T04:01:53.929Z,Pytorch Implementation for <em>Graph</em> Convolutional <em>Neural</em> <em>Networks</em>,,False,True,139805337,Public
dair-ai/GNNs-Recipe,1293,,2023-01-06T20:15:03.291Z,🟠 A study guide to learn about <em>Graph</em> <em>Neural</em> <em>Networks</em> (GNNs),"machine-learning,deep-learning,graph,graph-convolutional-networks,graph-neural-networks",True,True,459442111,Public
waleedka/hiddenlayer,1864,Python,2024-02-11T12:41:49.938Z,"<em>Neural</em> <em>network</em> <em>graphs</em> and training metrics for PyTorch, Tensorflow, and Keras.","visualization,tensorflow,keras,pytorch,tensorboard,deeplearning",False,True,134010054,Public
mims-harvard/decagon,472,Jupyter Notebook,2022-11-21T22:25:56.074Z,<em>Graph</em> convolutional <em>neural</em> <em>network</em> for multirelational link prediction,"deep-learning,pharmacology,embeddings,representation-learning,graph-convolutional-networks,graph-neural-networks",False,True,119741627,Public
benedekrozemberczki/CapsGNN,1279,Python,2023-03-18T12:08:55.879Z,"A PyTorch implementation of ""Capsule <em>Graph</em> <em>Neural</em> <em>Network</em>"" (ICLR 2019).","machine-learning,research,deep-learning,tensorflow,sklearn,pytorch,deepwalk,convolution,node2vec,graph-classification,capsule-network,graph-attention-networks,capsule-neural-networks,graph-attention-model,struc2vec,graph-convolution,gnn,graph-neural-network,capsgnn",True,True,168210197,Public
sk1712/gcn_metric_learning,208,Python,2018-10-14T14:15:41.376Z,Metric Learning with <em>Graph</em> Convolutional <em>Neural</em> <em>Networks</em>,,False,True,92530283,Public
CRIPAC-DIG/SR-GNN,850,Python,2021-11-12T07:45:36.662Z,"[AAAI 2019] Source code and datasets for ""Session-based Recommendation with <em>Graph</em> <em>Neural</em> <em>Networks</em>""","machine-learning,recommender-systems,graph-neural-networks,session-based-recommendation",False,True,157193186,Public archive
sw-gong/GNN-Tutorial,196,Jupyter Notebook,2020-06-24T18:16:25.172Z,<em>Graph</em> <em>Neural</em> <em>Network</em> Tutorial,,False,True,245050113,Public
alexfanjn/<em>Graph</em>-<em>Neural</em>-<em>Networks</em>-With-Heterophily,270,,2024-12-04T13:31:20.134Z,This repository contains the resources on <em>graph</em> <em>neural</em> <em>network</em> (GNN) considering heterophily. ,"awesome,datasets,graph-data,graph-neural-networks,homophily,heterophily",False,True,435470946,Public
