仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
orocos/orocos_<em>kinematics</em>_dynamics,878,C++,2026-05-07T06:32:35.824Z,Orocos <em>Kinematics</em> and Dynamics C++ library,,False,True,13630013,Public
ANYbotics/kindr,608,C++,2025-02-15T04:17:50.332Z,<em>Kinematics</em> and Dynamics for Robotics,,False,True,17901838,Public
Phylliade/ikpy,1001,Python,2026-01-12T06:34:39.407Z,"IKPy, an Universal Inverse <em>Kinematics</em> library","python,robotics,poppy,inverse-kinematics,urdf",False,True,42932894,Public
yeemachine/kalidokit,5646,TypeScript,2025-08-18T21:10:53.796Z,"Blendshape and <em>kinematics</em> calculator for Mediapipe/Tensorflow.js Face, Eyes, Pose, and Finger tracking models.","face-detection,pose-estimation,hand-detection,vtuber,tensorflowjs,mediapipe-facemesh,mediapipe-hands,mediapipe-pose",False,False,414835328,Public
kevinzakka/mink,1350,Python,2026-05-15T19:50:38.375Z,Python inverse <em>kinematics</em> based on MuJoCo.,"python,inverse-kinematics,mujoco",True,True,763348154,Public
TheComet/ik,543,C,2020-12-01T16:19:06.008Z,Minimal Inverse <em>Kinematics</em> library ,"animation,solver,calculations,inverse-kinematics,wiki-page,python-bindings,algorithm-library,rotation,3d,ik,inverse-kinematics-library,rotations,end-effector",False,True,84004367,Public
UM-ARM-Lab/pytorch_<em>kinematics</em>,801,Python,2026-04-16T00:44:05.142Z,Robot <em>kinematics</em> implemented in pytorch,"robotics,kinematics,pytorch,jacobian,differentiable-programming",False,True,331721571,Public
ditzel/SimpleIK,433,C#,2023-06-23T19:11:37.518Z,Unity Inverse <em>Kinematics</em> made easy,,False,True,170966237,Public
glumb/<em>kinematics</em>,261,JavaScript,2017-10-23T08:31:36.968Z,🤖 JavaScript 6DOF robot <em>kinematics</em> library,"nodejs,javascript,robot,robotics,kinematics,6dof-robot-kinematics",True,True,73542805,Public
soulwire/Muscular-Hydrostats,492,JavaScript,2016-12-13T13:54:03.925Z,Tentacle simulation using inverse <em>kinematics</em>,,False,True,6441230,Public
jsantell/THREE.IK,573,JavaScript,2023-03-15T14:13:00.100Z,inverse <em>kinematics</em> for three.js,"threejs,inverse-kinematics,ik",False,True,127994086,Public
jhavl/dkt,558,Jupyter Notebook,2023-07-27T21:05:31.933Z,A Tutorial on Manipulator Differential <em>Kinematics</em>,"python,robotics,kinematics,inverse-kinematics,manipulation,jacobian,hessian,robotics-control,robotics-simulation,robot-manipulation,robot-manipulator",False,True,507704401,Public
stephane-caron/pink,762,Python,2026-04-20T14:10:33.868Z,Python inverse <em>kinematics</em> using Pinocchio and QP solvers,"python,robotics,kinematics,inverse-kinematics,urdf,pinocchio",False,True,456113789,Public
yorkhackspace/meArm,124,C++,2020-08-27T13:59:13.145Z,Inverse <em>kinematics</em> control library for Phenoptix meArm,,False,True,19648379,Public
lo-th/fullik,464,JavaScript,2025-05-17T07:05:50.395Z,javascript fast iterative solver for Inverse <em>Kinematics</em>,,True,True,55900583,Public
udacity/RoboND-<em>Kinematics</em>-Project,83,C++,2021-12-02T12:56:54.911Z,Pick and Place project for RoboND Term 1,,False,True,94035571,Public archive
RotBotSlicer/Transform,262,Python,2023-10-16T08:56:55.676Z,Algorithm for 3D printer with new <em>kinematics</em>,,False,True,397597170,Public
perfanalytics/pose2sim,631,Python,2026-05-22T12:58:03.854Z,Markerless <em>kinematics</em> with any cameras — From 2D Pose estimation to 3D OpenSim motion,"blender,kinematics,sports,biomechanics,motion-capture,mocap,opensim,pose-estimation,openpose,3d-kinematics,markerless",False,True,501642916,Public
chungmin99/pyroki,1548,Python,2026-04-01T00:13:52.425Z,A Modular Toolkit for Robot <em>Kinematic</em> Optimization,,False,True,979060063,Public
PhysikaTeam/PhysIKA-old,102,C++,2021-09-23T05:14:26.219Z,PhysIKA: Physics-based Interactive <em>Kinematics</em> Architecture,"fluid,elasticity,fracture,physics-based-animation,elastoplasticity",False,True,76628858,Public archive
roboticslibrary/rl,1178,C++,2025-04-15T21:15:32.996Z,"The Robotics Library (RL) is a self-contained C++ library for rigid body <em>kinematics</em> and dynamics, motion planning, and control.","visualization,c-plus-plus,robotics,kinematics,dynamics,collision-detection,motion-planning,path-planning,hardware-abstraction,rigid-body-dynamics,multibody",False,True,20737145,Public
alecjacobson/computer-graphics-<em>kinematics</em>,111,C++,2022-02-25T21:52:33.052Z,Computer Graphics Assignment about <em>Kinematics</em>,,False,True,157281986,Public
