仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
zhm-real/<em>MotionPlanning</em>,2693,Python,2024-01-13T06:05:01.636Z,<em>Motion</em> <em>planning</em> algorithms commonly used on autonomous vehicles. (path <em>planning</em> + path tracking),"tracking,stanley,mpc,autonomous-vehicles,path-tracking,lqr,pathplanning,frenet-frames,pure-pursuit,motion-planning-algorithms,stanley-controller,hybrid-astar,rear-wheel-feedback,front-wheel-feedback,state-lattice-planner",False,True,278173871,Public
ai-winter/ros_<em>motion</em>_<em>planning</em>,3508,C++,2026-04-24T14:49:10.970Z,"<em>Motion</em> <em>planning</em> and Navigation of AGV/AMR：ROS planner plugin implementation of A*, JPS, D*, LPA*, D* Lite, Theta*, RRT, RRT*, RRT-Connect…","robotics,astar,motion-planning,rrt,path-planning,ros,rrt-star,voronoi,autonomous-vehicles,path-tracking,jump-point-search,ros-navigation,model-predictive-control,trajectory-planning,pure-pursuit,artificial-potential-field,dstar-lite,lpa-star",False,True,588141227,Public
moveit/moveit,2040,C++,2026-04-06T12:09:08.195Z,🤖 The MoveIt <em>motion</em> <em>planning</em> framework,,False,True,64340188,Public
ompl/ompl,2057,C++,2026-05-11T21:06:29.698Z,The Open <em>Motion</em> <em>Planning</em> Library (OMPL),"robotics,motion-planning",False,True,19983886,Public
hungpham2511/toppra,886,Python,2026-05-14T14:34:37.582Z,robotic <em>motion</em> <em>planning</em> library,"robotics,motion-planning,robotics-algorithms,topp",False,True,97661949,Public
ai-winter/python_<em>motion</em>_<em>planning</em>,1043,Python,2026-04-12T16:36:15.991Z,"<em>Motion</em> <em>planning</em>(Path <em>Planning</em> and Trajectory <em>Planning</em>/Tracking) of AGV/AMR：python implementation of Dijkstra, A*, JPS, D*, LPA*, D* Lite,…","motion-planning,rrt,path-planning,a-star,rrt-star,dijkstra,voronoi,autonomous-vehicles,path-tracking,bezier-curve,d-star-lite,d-star,jump-point-search,model-predictive-control,theta-star,informed-rrt-star,trajectory-planning,dubins-curve,artificial-potential-field,rrt-connect",False,True,598409114,Public
tesseract-robotics/tesseract,361,C++,2026-05-14T15:34:02.466Z,<em>Motion</em> <em>Planning</em> Environment,"cpp,robotics,motion-planning,ros",False,True,136330944,Public
udacity/FCND-<em>Motion</em>-<em>Planning</em>,71,Python,2023-02-10T06:48:58.497Z,<em>Motion</em> <em>planning</em> project (P1),,False,True,108443887,Public
meco-group/omg-tools,594,Python,2024-09-12T15:29:08.485Z,Optimal <em>Motion</em> Generation-tools: <em>motion</em> <em>planning</em> made easy,,False,True,54381069,Public
ai-winter/matlab_<em>motion</em>_<em>planning</em>,631,MATLAB,2025-04-03T09:05:56.199Z,"<em>Motion</em> <em>planning</em> and Navigation of AGV/AMR：matlab implementation of Dijkstra, A*, Theta*, JPS, D*, LPA*, D* Lite, RRT, RRT*, RRT-Connect, …","motion-planning,rrt,a-star,rrt-star,dijkstra,ant-colony-optimization,voronoi,pid-control,d-star,jump-point-search,theta-star,informed-rrt-star,lqr-controller,mpc-control,artificial-potential-field,rrt-connect,dynamic-window-approach",False,True,598393958,Public
