仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
facebookresearch/<em>multimodal</em>,1718,Python,2026-05-18T21:41:43.757Z,TorchMultimodal is a PyTorch library for training state-of-the-art <em>multimodal</em> multi-task models at scale.,,False,True,452825945,Public
pliang279/awesome-<em>multimodal</em>-ml,6876,,2024-08-20T19:46:33.877Z,Reading list for research topics in <em>multimodal</em> machine learning,"machine-learning,natural-language-processing,reinforcement-learning,computer-vision,deep-learning,robotics,healthcare,reading-list,representation-learning,speech-processing,multimodal-learning",False,True,188919037,Public
BradyFU/Awesome-<em>Multimodal</em>-Large-Language-Models,17826,,2026-05-01T08:03:37.367Z,✨✨Latest Advances on <em>Multimodal</em> Large Language Models,"multi-modality,instruction-following,in-context-learning,large-language-models,chain-of-thought,instruction-tuning,visual-instruction-tuning,large-vision-language-model,multimodal-instruction-tuning,large-vision-language-models,multimodal-large-language-models,multimodal-in-context-learning,multimodal-chain-of-thought",False,True,642642539,Public
deepseek-ai/Janus,17728,Python,2025-02-01T07:58:29.539Z,Janus-Series: Unified <em>Multimodal</em> Understanding and Generation Models,"multimodal,unified-model,any-to-any,foundation-models,llm,vision-language-pretraining",False,True,874559208,Public
ByteDance-Seed/Bagel,5948,Python,2026-05-04T17:01:02.796Z,Open-source unified <em>multimodal</em> model,,False,True,967889784,Public
jina-ai/serve,21870,Python,2025-03-24T13:59:54.180Z,☁️ Build <em>multimodal</em> AI applications with cloud-native stack,"docker,kubernetes,machine-learning,framework,deep-learning,microservice,pipeline,cncf,grpc,prometheus,orchestration,cloud-native,jaeger,multimodal,mlops,fastapi,opentelemetry,neural-search,generative-ai,llmops",False,True,240315046,Public
maelfabien/<em>Multimodal</em>-Emotion-Recognition,1081,Jupyter Notebook,2021-04-29T20:09:29.008Z,"A real time <em>Multimodal</em> Emotion Recognition web app for text, sound and video inputs ","python,real-time,deep-learning,tensorflow,keras,emotion-analysis,emotions,emotion-detection,emotion-recognition",False,True,174365764,Public
Yuliang-Liu/<em>Multimodal</em>OCR,840,Python,2026-05-20T08:42:21.753Z,On the Hidden Mystery of OCR in Large <em>Multimodal</em> Models (OCRBench),,False,True,639773485,Public
MultimodalUniverse/<em>Multimodal</em>Universe,487,Jupyter Notebook,2026-04-08T16:16:21.255Z,Large-Scale <em>Multimodal</em> Dataset of Astronomical Data,,False,True,709011126,Public
pipecat-ai/pipecat,12439,Python,2026-05-23T14:18:50.030Z,Open Source framework for voice and <em>multimodal</em> conversational AI,"real-time,ai,voice,chatbots,chatbot-framework,voice-assistant",False,True,736272311,Public
TencentQQGYLab/AppAgent,6750,Python,2025-03-19T11:01:38.108Z,"AppAgent: <em>Multimodal</em> Agents as Smartphone Users, an LLM-based <em>multimodal</em> agent framework designed to operate smartphone apps.","agent,gpt4,llm,generative-ai,chatgpt,gpt4v",False,True,733899994,Public
yaohungt/<em>Multimodal</em>-Transformer,986,Python,2022-09-12T05:10:04.118Z,[ACL'19] [PyTorch] <em>Multimodal</em> Transformer,,False,True,189776462,Public
open-mmlab/<em>Multimodal</em>-GPT,1515,Python,2023-06-04T01:42:37.043Z,<em>Multimodal</em>-GPT,"transformer,llama,gpt,flamingo,multimodal,vision-and-language,gpt-4",False,True,632871496,Public
Eurus-Holmes/Awesome-<em>Multimodal</em>-Research,1394,Python,2023-08-05T05:44:56.289Z,A curated list of <em>Multimodal</em> Related Research.,"awesome,multimodal-learning,multimodal,multimodal-research",False,True,199870084,Public
declare-lab/<em>multimodal</em>-deep-learning,919,OpenEdge ABL,2023-03-15T01:22:51.810Z,"This repository contains various models targetting <em>multimodal</em> representation learning, <em>multimodal</em> fusion for downstream tasks such as <em>mul…</em>","multimodal-interactions,multimodal-learning,multimodal-sentiment-analysis,multimodal-deep-learning",False,True,400700532,Public
NVlabs/MUNIT,2705,Python,2022-09-20T12:23:52.170Z,<em>Multimodal</em> Unsupervised Image-to-Image Translation,"deep-learning,gan,pix2pix,image-translation,munit",False,True,127476512,Public
mattmireles/gemma-tuner-<em>multimodal</em>,1448,Python,2026-05-12T17:52:40.564Z,"Fine-tune Gemma 4 and 3n with audio, images and text on Apple Silicon, using PyTorch and Metal Performance Shaders.",,True,True,1203504681,Public
OthersideAI/self-operating-computer,10250,Python,2025-09-19T19:31:39.376Z,A framework to enable <em>multimodal</em> models to operate a computer.,"automation,openai,pyautogui",False,True,714143245,Public
sgl-project/sglang,28157,Python,2026-05-23T16:25:08.882Z,SGLang is a high-performance serving framework for large language models and <em>multimodal</em> models.,"reinforcement-learning,cuda,inference,transformer,moe,attention,llama,glm,minimax,wan,diffusion,vlm,blackwell,llm,qwen,deepseek,gpt-oss,qwen-image",False,True,740303686,Public
apache/seatunnel,9343,Java,2026-05-23T17:22:18.567Z,"SeaTunnel is a <em>multimodal</em>, high-performance, distributed, massive data integration tool.","streaming,real-time,offline,high-performance,apache,embeddings,batch,data-integration,elt,cdc,change-data-capture,data-ingestion,multimodal,llm",False,True,99412308,Public
the-ai-merge/<em>multimodal</em>-agents-course,559,Python,2026-01-05T23:30:53.571Z,An MCP <em>Multimodal</em> AI Agent with eyes and ears!,"agent,mcp,embeddings,openai,opik,multimodal,groq,pixeltable,mcp-server,mcp-client",False,True,961883456,Public
georgian-io/<em>Multimodal</em>-Toolkit,620,Python,2026-05-04T16:33:22.300Z,<em>Multimodal</em> model for text and tabular data with HuggingFace transformers as building block for text data,"natural-language-processing,tabular-data,transformer,multimodal-learning,huggingface-transformers",False,True,289075382,Public
Jie-Xie/CMU-<em>Multimodal</em>DataSDK,15,Python,2018-01-18T20:41:38.617Z,"MultimodalSDK provides tools to easily apply machine learning algorithms on well-known affective computing datasets such as CMU-MOSI, CMU…",,False,False,118064044,Public
CMU-MultiComp-Lab/CMU-<em>Multimodal</em>SDK,352,Python,2023-12-04T20:20:01.403Z,,,False,True,650760121,Public
enoche/<em>Multimodal</em>RecSys,471,,2025-10-09T03:02:55.048Z,A curated list of awesome resources about <em>multimodal</em> recommender systems.,"recommender-system,recommendation,multimodal",False,True,513730322,Public
rerun-io/rerun,10826,Rust,2026-05-23T15:52:29.271Z,"Visualize, query, and stream to train on <em>multimodal</em> robotics data.","visualization,python,rust,computer-vision,cpp,robotics,multimodal",False,True,479289739,Public
