仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
bayesian-optimization/Bayesian<em>Optimization</em>,8630,Python,2026-05-11T08:09:21.480Z,A Python implementation of global <em>optimization</em> with gaussian processes.,"python,simple,optimization,gaussian-processes,bayesian-optimization",False,True,20556335,Public
zijie0/HumanSystem<em>Optimization</em>,21727,,2025-09-10T05:52:06.842Z,健康学习到150岁 - 人体系统调优不完全指南,,False,True,495067941,Public
optuna/optuna,14236,Python,2026-05-22T07:10:03.540Z,A hyperparameter <em>optimization</em> framework,"python,machine-learning,parallel,distributed,hyperparameter-optimization",True,True,122299416,Public
skyming/iOS-Performance-<em>Optimization</em>,4864,Objective-C,2025-07-05T03:27:12.329Z,关于iOS 性能优化梳理、内存泄露、卡顿、网络、GPU、电量、 App 包体积瘦身、启动速度优化等、Instruments 高级技巧、常见的优化技能- Get — Edit,,False,True,58248014,Public
hyperopt/hyperopt,7577,Python,2026-05-18T21:44:41.970Z,Distributed Asynchronous Hyperparameter <em>Optimization</em> in Python,hacktoberfest,False,True,2337852,Public
dgryski/go-perfbook,10898,,2022-01-05T14:13:12.881Z,Thoughts on Go performance <em>optimization</em>,"performance,optimization,performance-analysis,performance-optimization",True,True,59398169,Public
HKUST-Aerial-Robotics/VINS-Fusion,4532,C++,2024-05-23T09:17:03.981Z,An <em>optimization</em>-based multi-sensor state estimator,,False,True,165091078,Public
NVIDIA/FasterTransformer,6414,C++,2024-03-27T11:25:30.780Z,"Transformer related <em>optimization</em>, including BERT, GPT","pytorch,transformer,gpt,bert",False,True,354138793,Public
affaan-m/ECC,188817,JavaScript,2026-05-20T03:25:40.855Z,"The agent harness performance <em>optimization</em> system. Skills, instincts, memory, security, and research-first development for Claude Code, C…","productivity,mcp,developer-tools,ai-agents,claude,llm,anthropic,claude-code",True,True,1136590548,Public
soot-oss/soot,3076,Java,2026-05-13T15:47:35.843Z,Soot - A Java <em>optimization</em> framework,"java,bytecode,optimization,static-analysis,soot,analysis-framework,java-optimization-framework,jimple",True,True,4726093,Public
meta-pytorch/botorch,3530,Jupyter Notebook,2026-05-21T17:43:31.358Z,Bayesian <em>optimization</em> in PyTorch,,False,True,142940093,Public
ceres-solver/ceres-solver,4480,C++,2026-05-01T22:16:05.247Z,A large scale non-linear <em>optimization</em> library,"c-plus-plus,computer-vision,structure-from-motion,levenberg-marquardt,conjugate-gradient,bundle-adjustment,numerical-optimization,nonlinear-programming,bfgs,l-bfgs,nonlinear-optimization-algorithms,gauss-newton,trust-region,nonlinear-least-squares",False,True,15667250,Public
RainerKuemmerle/g2o,3430,C++,2026-05-18T19:33:36.526Z,g2o: A General Framework for Graph <em>Optimization</em>,"c-plus-plus,cpp,slam,g2o,graph-optimization",False,True,3161336,Public
tensorflow/model-<em>optimization</em>,1571,Python,2026-05-19T20:35:29.777Z,"A toolkit to <em>optimize</em> ML models for deployment for Keras and TensorFlow, including quantization and pruning.","machine-learning,sparsity,compression,deep-learning,tensorflow,optimization,keras,ml,pruning,quantization,model-compression,quantized-training,quantized-neural-networks,quantized-networks",False,True,155619942,Public
scikit-optimize/scikit-optimize,2827,Python,2024-02-23T07:05:22.501Z,Sequential model-based <em>optimization</em> with a `scipy.<em>optimize</em>` interface,"visualization,machine-learning,binder,optimization,scikit-learn,scientific-visualization,scientific-computing,hyperparameter-optimization,bayesopt,bayesian-optimization,hacktoberfest,hyperparameter-tuning,hyperparameter,hyperparameter-search,sequential-recommendation",False,True,54340642,Public archive
davidsonfellipe/awesome-wpo,8900,,2026-05-02T20:03:31.265Z,A curated list of Web Performance <em>Optimization</em>. ,"list,awesome,awesome-list,webperf,webperformance,webperf-metrics",False,True,25212911,Public
stevengj/nlopt,2219,C,2026-05-21T15:28:25.022Z,"library for nonlinear <em>optimization</em>, wrapping many algorithms for global and local, constrained or unconstrained, <em>optimization</em>",,False,True,12412122,Public
cvxpy/cvxpy,6216,C++,2026-05-23T00:47:13.743Z,A Python-embedded modeling language for convex <em>optimization</em> problems.,"python,optimization,modeling-language,numerical-optimization,cvxpy,convex-optimization,optimization-modeling,mathematical-optimization",False,True,11110385,Public
BIMK/PlatEMO,2107,MATLAB,2026-05-22T08:08:10.102Z,Evolutionary multi-objective <em>optimization</em> platform,"matlab,evolutionary-algorithms,multi-objective-optimization",False,True,152762354,Public
marcobiedermann/search-engine-<em>optimization</em>,2725,,2025-02-24T11:03:29.866Z,🔍 A helpful checklist/collection of Search Engine <em>Optimization</em> (SEO) tips and techniques.,"search,google,awesome,collection,optimization,engine,seo,tips,awesome-list,keyword",False,True,28194997,Public
ERGO-Code/HiGHS,1635,C++,2026-05-23T16:24:19.333Z,Linear <em>optimization</em> software,"high-performance,simplex,parallel,quadratic-programming,interior-point-method,mixed-integer-programming,linear-optimization",True,True,126994758,Public
WassimTenachi/PhySO,1966,Python,2026-02-21T13:49:54.599Z,Physical Symbolic <em>Optimization</em>,"python,machine-learning,reinforcement-learning,deep-learning,physics,symbolic-regression,equation-discovery",False,True,594060646,Public
deepspeedai/DeepSpeed,42389,Python,2026-05-22T21:52:34.984Z,"DeepSpeed is a deep learning <em>optimization</em> library that makes distributed training and inference easy, efficient, and effective.","machine-learning,compression,deep-learning,gpu,inference,pytorch,zero,data-parallelism,model-parallelism,mixture-of-experts,pipeline-parallelism,billion-parameters,trillion-parameters",False,True,235860204,Public
guofei9987/scikit-opt,6575,Python,2026-03-25T09:12:13.077Z,"Genetic Algorithm, Particle Swarm <em>Optimization</em>, Simulated Annealing, Ant Colony <em>Optimization</em> Algorithm,Immune Algorithm, Artificial Fish …","optimization,genetic-algorithm,artificial-intelligence,simulated-annealing,tsp,particle-swarm-optimization,pso,travelling-salesman-problem,fish-swarms,immune,ant-colony-algorithm,heuristic-algorithms,immune-algorithm",False,True,113166974,Public
eric-mitchell/direct-preference-<em>optimization</em>,2889,Python,2024-08-11T00:24:06.058Z,Reference implementation for DPO (Direct Preference <em>Optimization</em>),,False,True,657083020,Public
WillKoehrsen/hyperparameter-<em>optimization</em>,641,Jupyter Notebook,2023-04-29T08:01:55.814Z,Implementation of Bayesian Hyperparameter <em>Optimization</em> of Machine Learning Algorithms,,False,True,138346214,Public
automl/SMAC3,1223,Python,2026-05-18T16:41:16.700Z,SMAC3: A Versatile Bayesian <em>Optimization</em> Package for Hyperparameter <em>Optimization</em>,"random-forest,configuration,hyperparameter-optimization,bayesian-optimization,hyperparameter-tuning,automl,automated-machine-learning,hyperparameter-search,bayesian-optimisation,gaussian-process,algorithm-configuration",True,True,65900469,Public
hellzerg/optimizer,18175,C#,2026-01-20T19:04:47.947Z,The finest Windows <em>Optimizer</em>,"windows,privacy,tweaks,optimize,windows-10,toolbox,windows-8,cleanup,windows-8-1,windows-7,registry-hacks,startup-items,hosts-file,windows-tweaks,registry-tweaks",False,True,103370157,Public archive
HIPS/Spearmint,1569,Python,2019-12-27T21:30:17.916Z,Spearmint Bayesian <em>optimization</em> codebase,,False,True,22654179,Public
apache/incubator-pagespeed-ngx,4344,C++,2023-04-21T14:50:27.308Z,Automatic PageSpeed <em>optimization</em> module for Nginx,pagespeed,False,True,4766638,Public archive
facebookarchive/prepack,14117,JavaScript,2022-02-11T05:19:57.379Z,A JavaScript bundle <em>optimizer</em>.,"javascript,optimization",False,True,45147841,Public archive
XiaoMi/soar,8773,Go,2023-12-15T09:13:07.521Z,SQL <em>Optimizer</em> And Rewriter,"mysql,syntax,sql,database,command-line,rewrite,optimizer,indexing,suggestion,advisor,auditor",False,True,152058245,Public
VROOM-Project/vroom,1758,C++,2026-05-11T15:28:39.393Z,Vehicle Routing Open-source <em>Optimization</em> Machine,"optimization,solver,vehicle-routing-problem,vrp,logistics,tsp,delivery,travelling-salesman,cvrp,vroom,pickup,vrptw,pdptw",False,True,41960855,Public
dcajasn/Riskfolio-Lib,4208,C++,2026-05-22T07:00:11.912Z,Portfolio <em>Optimization</em> and Quantitative Strategic Asset Allocation in Python,"finance,trading,portfolio-optimization,sharpe-ratio,quantitative-finance,investment,cvxpy,convex-optimization,asset-allocation,stepwise-regression,investment-analysis,principal-components-regression,risk-factors,portfolio-management,risk-parity,efficient-frontier,drawdown-model,duration-matching,cvar-optimization,risk-contribution",True,True,244460835,Public
cvxpy/cvxpylayers,2095,Python,2026-05-19T19:53:38.502Z,Differentiable convex <em>optimization</em> layers,,False,True,217926330,Public
