仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
mangdangroboticsclub/<em>Quadruped</em>Robot,1106,Python,2026-04-20T08:44:50.286Z,"Open-Source,ROS Robot Dog Kit",,False,True,329913731,Public
stanfordroboticsclub/Stanford<em>Quadruped</em>,1715,Python,2024-10-24T01:56:53.686Z,,,False,True,236418227,Public
mike4192/spotMicro,2060,C++,2021-03-20T21:07:18.064Z,Spot Micro <em>Quadruped</em> Project,,False,True,251464414,Public
PetoiCamp/OpenCat-<em>Quadruped</em>-Robot,4827,C++,2026-04-15T11:05:20.441Z,"An open source <em>quadruped</em> robot pet framework for developing Boston Dynamics-style four-legged robots that are perfect for STEM, coding &amp; …","education,raspberry-pi,iot,arduino,ai,robotics,simulation,stem,visual-programming,walking,quadruped,block-coding,quadruped-robot-gaits,robot-kit,legged-robot,robot-pet,robot-dog,robot-cat,robotics-education",False,True,326441188,Public
ShuoYangRobotics/<em>Quadruped</em>Sim,246,MATLAB,2020-06-05T15:18:57.336Z,A <em>quadruped</em> robot simulator in Matlab/Simulink,,False,True,157754097,Public
ToanTech/py-apple-<em>quadruped</em>-robot,1255,Python,2022-04-11T07:31:53.102Z,一个低成本大型全套四足机器人软硬件开源项目,,False,True,248401917,Public
curieuxjy/Awesome_<em>Quadrupedal</em>_Robots,1094,Python,2026-05-18T00:17:44.990Z,Awesome <em>Quadrupedal</em> Robots,"awesome,awesome-list,quadruped,quadruped-robots,quadruped-robot",False,True,417322802,Public
adham-elarabawy/open-<em>quadruped</em>,468,C++,2024-08-23T17:10:44.237Z,An open-source 3D-printed <em>quadrupedal</em> robot. Intuitive gait generation through 12-DOF Bezier Curves. Full 6-axis body pose manipulation. …,"machine-learning,control,reinforcement-learning,robotics,trajectory-generation,locomotion,3d-printing,trajectory,bezier-path,quadruped,gait,gait-generation,quadruped-robots,quadruped-robot",False,True,263343780,Public
Derek-TH-Wang/<em>quadruped</em>_ctrl,354,C++,2022-06-14T01:22:09.246Z,MIT mini cheetah <em>quadruped</em> robot simulated in pybullet environment using ros.,"algorithm,robot,mit,simulation,terrain,ros,mpc,locomotion,quadruped,gait,pybullet,quadruped-robot,mini-cheetah",False,True,267837347,Public
dorianborian/sesame-robot,2505,C,2026-05-13T04:23:18.560Z,An open and affordable mini <em>quadruped</em> robot based on ESP32.,"robotics,hardware,walking-robot",False,True,1101481970,Public
iit-DLSLab/<em>Quadruped</em>-PyMPC,472,Python,2026-05-04T06:58:57.797Z,A model predictive controller for <em>quadruped</em> robots based on the single rigid body model and written in python. Gradient-based (acados) or…,"optimization,locomotion,ros2,mujoco,jax,acados,quadruped-robot",False,True,772767771,Public
Nate711/StanfordDoggoProject,2521,,2024-07-08T02:08:11.327Z,"Stanford Doggo is an open source <em>quadruped</em> robot that jumps, flips, and trots!","robot,cad,quadruped,legged-robotics,stanford-doggo,quasi-direct,direct-drive",False,True,148583016,Public
golaced/OLDX-FC_<em>QUADRUPED</em>_QUADROTOR,345,,2022-01-07T00:39:28.352Z,"OLDX_MocoMoco四足机器人开发平台 (每Star超过20更新 当日更新) Engilish Ver:<a href=""https://github.com/golaced/OLDX-FC_QUADRUPED_QUADROTOR/tree/golaced-patch-1-en"">https://github.com/golaced/OLDX-FC_QUADRUPED_QUADROTOR/tree/golaced-patch-1-en</a>",,False,True,171588540,Public
legubiao/<em>quadruped</em>_ros2_control,519,C++,2026-02-22T08:14:24.292Z,"ROS2-Control implementations for <em>Quadruped</em> robots, include sim2real","rl,gazebo,xiaomi,legged-robots,mujoco,ros2-control,unitree,ocs2,deep-robotics",False,True,854636174,Public
PetoiCamp/OpenCat-Old,1375,C++,2022-10-10T07:05:25.772Z,A programmable and highly maneuverable robotic cat for STEM education and AI-enhanced services.,"robotics,walking,quadruped,legged",False,True,124574483,Public
TopHillRobotics/<em>quadruped</em>-robot,195,C++,2023-05-15T03:54:59.189Z,An Open Source <em>Quadruped</em>-Robot for Simulating and Real Environment,"ros,gazebo-simulator,quadruped-robot",False,True,503285472,Public
