仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
jason718/awesome-self-<em>supervised</em>-<em>learning</em>,6392,,2026-02-24T08:30:02.726Z,A curated list of awesome self-<em>supervised</em> methods,"machine-learning,natural-language-processing,reinforcement-learning,computer-vision,deep-learning,robotics,self-supervised",False,True,120975327,Public
facebookresearch/dinov2,12876,Jupyter Notebook,2026-04-08T15:11:48.982Z,PyTorch code and models for the DINOv2 self-<em>supervised</em> <em>learning</em> method.,,False,True,620911108,Public
microsoft/Semi-<em>supervised</em>-<em>learning</em>,1575,Python,2026-05-19T23:41:43.257Z,A Unified Semi-<em>Supervised</em> <em>Learning</em> Codebase (NeurIPS'22),"machine-learning,natural-language-processing,computer-vision,deep-learning,pytorch,transformer,classification,semi-supervised-learning,audio-classification,low-resource,semisupervised-learning",False,True,488855605,Public
open-mmlab/mmselfsup,3303,Python,2023-06-25T02:30:28.728Z,OpenMMLab Self-<em>Supervised</em> <em>Learning</em> Toolbox and Benchmark,"pytorch,unsupervised-learning,mae,moco,self-supervised-learning,simclr,beit,simsiam,masked-image-modeling",False,True,271716219,Public
yassouali/awesome-semi-<em>supervised</em>-<em>learning</em>,1854,,2024-05-24T02:46:31.667Z,"😎 An up-to-date &amp; curated list of awesome semi-<em>supervised</em> <em>learning</em> papers, methods &amp; resources.","machine-learning,natural-language-processing,computer-vision,deep-learning,generative-model,semi-supervised-learning,graph-neural-networks",False,True,253946675,Public
HobbitLong/SupContrast,3437,Python,2023-12-26T21:20:36.724Z,"PyTorch implementation of ""<em>Supervised</em> Contrastive <em>Learning</em>"" (and SimCLR incidentally)",,False,True,262288044,Public
VivekPa/AIAlpha,1925,Python,2020-06-18T05:37:24.513Z,Use unsupervised and <em>supervised</em> <em>learning</em> to predict stocks,"python,machine-learning,artificial-intelligence,lstm,yahoo-finance-api,stock-price-prediction,autoencoder,artificial-neural-networks,trading-strategies,quantitative-finance,algorithmic-trading,wavelet-transform",False,True,151904296,Public
s3prl/s3prl,2554,Python,2026-03-12T19:14:49.785Z,Self-<em>Supervised</em> Speech Pre-training and Representation <em>Learning</em> Toolkit,"representation-learning,tera,cpc,apc,pase,mockingjay,self-supervised-learning,speech-representation,wav2vec,speech-pretraining,hubert,vq-apc,vq-wav2vec,wav2vec2,decoar,distilhubert,wavlm,unispeech-sat,decoar2,data2vec",False,True,196905457,Public
kimiyoung/planetoid,957,Python,2020-03-05T21:03:14.300Z,Semi-<em>supervised</em> <em>learning</em> with graph embeddings,,False,True,62000887,Public
facebookresearch/dino,7571,Python,2024-07-03T16:21:59.212Z,PyTorch code for Vision Transformers training with the Self-<em>Supervised</em> <em>learning</em> method DINO,,False,True,360066433,Public archive
