仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
thuml/<em>Time</em>-<em>Series</em>-Library,12316,Python,2026-04-18T21:01:40.728Z,A Library for Advanced Deep <em>Time</em> <em>Series</em> Models for General <em>Time</em> <em>Series</em> Analysis.,"deep-learning,time-series,time-series-analysis",False,True,601044104,Public
AileenNielsen/<em>TimeSeries</em>AnalysisWithPython,1917,Jupyter Notebook,2022-04-26T13:23:19.136Z,,,False,True,62105212,Public
google-research/<em>timesfm</em>,20063,Python,2026-05-19T19:56:37.462Z,TimesFM (<em>Time</em> <em>Series</em> Foundation Model) is a pretrained <em>time</em>-<em>series</em> foundation model developed by Google Research for <em>time</em>-<em>series</em> forecast…,,False,True,793784055,Public
prometheus/prometheus,64147,Go,2026-05-23T14:08:51.147Z,The Prometheus monitoring system and <em>time</em> <em>series</em> database.,"monitoring,time-series,metrics,alerting,prometheus,graphing,hacktoberfest",False,True,6838921,Public
jaungiers/LSTM-Neural-Network-for-<em>Time</em>-<em>Series</em>-Prediction,5200,Python,2023-03-24T21:54:57.534Z,LSTM built using Keras Python package to predict <em>time</em> <em>series</em> steps and sequences. Includes sin wave and stock market data,,True,True,76793704,Public
ritvikmath/<em>Time</em>-<em>Series</em>-Analysis,776,Jupyter Notebook,2024-04-18T21:09:52.540Z,code and data for the <em>time</em> <em>series</em> analysis vids on my YouTube channel,,False,True,248650842,Public
Alro10/deep-learning-<em>time</em>-<em>series</em>,2774,Jupyter Notebook,2024-03-16T23:52:38.985Z,"List of papers, code and experiments using deep learning for <em>time</em> <em>series</em> forecasting","deep-neural-networks,deep-learning,time-series,tensorflow,prediction,python3,pytorch,recurrent-neural-networks,lstm,series-analysis,forecasting-models,lstm-neural-networks,demand-forecasting,series-forecasting,sales-forecasting,time-series-classification,time-series-prediction,time-series-forecasting,series-classification,forecasting-competitions",False,True,203803065,Public
morrisjs/morris.js,6883,CoffeeScript,2021-10-07T12:56:12.799Z,Pretty <em>time</em>-<em>series</em> line graphs,,False,True,3509134,Public
marcopeix/<em>TimeSeries</em>ForecastingInPython,644,Jupyter Notebook,2023-09-16T19:04:29.039Z,,,False,True,384522970,Public
qingsongedu/<em>time</em>-<em>series</em>-transformers-review,2984,,2024-08-08T15:03:54.680Z,"A professionally curated list of awesome resources (paper, code, data, etc.) on transformers in <em>time</em> <em>series</em>.","review,machine-learning,awesome,timeseries,deep-learning,time-series,transformers,survey,transformer,forecasting,classification,anomalydetection,timeseries-analysis,time-series-forecasting",False,True,464704193,Public
sktime/pytorch-forecasting,4902,Python,2026-05-22T12:54:18.028Z,<em>Time</em> <em>series</em> forecasting with PyTorch,"python,data-science,machine-learning,ai,timeseries,deep-learning,gpu,pandas,pytorch,artificial-intelligence,uncertainty,neural-networks,forecasting,hacktoberfest,temporal,timeseries-forecasting,pytorch-lightning",True,True,276901861,Public
MaxBenChrist/awesome_<em>time</em>_<em>series</em>_in_python,2248,,2023-02-10T06:55:24.158Z,This curated list contains python packages for <em>time</em> <em>series</em> analysis,"python,machine-learning,statistics,time-series",False,True,100486833,Public
OpenTSDB/opentsdb,5067,Java,2024-12-12T20:03:34.889Z,"A scalable, distributed <em>Time</em> <em>Series</em> Database.",,False,True,865412,Public
JEddy92/<em>TimeSeries</em>_Seq2Seq,612,Jupyter Notebook,2019-06-28T20:48:18.559Z,This repo aims to be a useful collection of notebooks/code for understanding and implementing seq2seq neural networks for <em>time</em> <em>series</em> for…,,False,True,133066764,Public
bosun-monitor/bosun,3399,Go,2025-02-13T10:41:49.785Z,<em>Time</em> <em>Series</em> Alerting Framework,"go,monitoring,alerting,tsdb,bosun,scollector",False,True,14410778,Public archive
rouseguy/<em>TimeSeries</em>AnalysiswithPython,346,HTML,2016-03-31T13:37:03.898Z,<em>Time</em> <em>Series</em> Analysis with Python,,False,True,55151514,Public
