仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
huggingface/<em>transformers</em>,160905,Python,2026-05-22T19:58:10.791Z,"🤗 <em>Transformers</em>: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models…","audio,python,nlp,machine-learning,natural-language-processing,deep-learning,pytorch,transformer,speech-recognition,glm,pretrained-models,hacktoberfest,gemma,vlm,pytorch-transformers,model-hub,llm,qwen,deepseek",False,True,155220641,Public
Kyubyong/<em>transformer</em>,4472,Python,2023-05-21T17:39:56.888Z,A TensorFlow Implementation of the <em>Transformer</em>: Attention Is All You Need,"translation,transformer,implementation,attention-mechanism,attention-is-all-you-need",False,True,94618560,Public
hyunwoongko/<em>transformer</em>,4571,Python,2025-07-15T06:19:46.284Z,"<em>Transformer</em>: PyTorch Implementation of ""Attention Is All You Need""","pytorch,dataset,transformer,attention",True,True,215272388,Public
SamLynnEvans/<em>Transformer</em>,1427,Python,2023-05-19T10:22:41.957Z,"<em>Transformer</em> seq2seq model, program that can build a language translator from parallel corpus",,False,True,149262160,Public
huggingface/sentence-<em>transformers</em>,18714,Python,2026-05-21T10:05:01.114Z,"State-of-the-Art Embeddings, Retrieval, and Reranking",,False,True,198616978,Public
NVIDIA/<em>Transformer</em>Engine,3350,Python,2026-05-23T01:45:02.347Z,"A library for accelerating <em>Transformer</em> models on NVIDIA GPUs, including using 8-bit and 4-bit floating point (FP8 and FP4) precision on H…","python,machine-learning,deep-learning,gpu,cuda,pytorch,jax,fp8,fp4",False,True,539057023,Public
microsoft/Swin-<em>Transformer</em>,15931,Python,2024-07-24T17:09:57.239Z,"This is an official implementation for ""Swin <em>Transformer</em>: Hierarchical Vision <em>Transformer</em> using Shifted Windows"".","imagenet,image-classification,object-detection,semantic-segmentation,mscoco,mask-rcnn,ade20k,swin-transformer",False,True,351432397,Public
TransformerLensOrg/<em>Transformer</em>Lens,3457,Python,2026-05-22T21:34:01.187Z,A library for mechanistic interpretability of GPT-style language models,,False,True,529394355,Public
NielsRogge/<em>Transformers</em>-Tutorials,11629,Jupyter Notebook,2026-04-20T12:36:38.425Z,This repository contains demos I made with the <em>Transformers</em> library by HuggingFace.,"transformers,pytorch,bert,gpt-2,layoutlm,vision-transformer",False,True,291787503,Public
google-research/vision_<em>transformer</em>,12543,Jupyter Notebook,2026-03-03T08:31:08.846Z,,,False,True,306018946,Public
maxjcohen/<em>transformer</em>,906,Jupyter Notebook,2026-04-08T07:24:11.232Z,Implementation of <em>Transformer</em> model (originally from Attention is All You Need) applied to Time Series.,"timeseries,metamodel,transformer",False,True,223378676,Public
huggingface/<em>transformers</em>.js,16026,JavaScript,2026-05-18T01:56:12.918Z,"State-of-the-art Machine Learning for the web. Run 🤗 <em>Transformers</em> directly in your browser, with no need for a server!","javascript,browser,transformers,webml",False,True,601161044,Public
harvardnlp/annotated-<em>transformer</em>,7268,Jupyter Notebook,2024-04-07T09:58:46.280Z,An annotated implementation of the <em>Transformer</em> paper.,"python,notebook,annotated",False,True,126207992,Public
CompVis/taming-<em>transformers</em>,6493,Jupyter Notebook,2024-07-30T18:27:31.446Z,Taming <em>Transformers</em> for High-Resolution Image Synthesis,,False,True,322324704,Public
NVIDIA/Faster<em>Transformer</em>,6414,C++,2024-03-27T11:25:30.780Z,"<em>Transformer</em> related optimization, including BERT, GPT","pytorch,transformer,gpt,bert",False,True,354138793,Public
jayparks/<em>transformer</em>,578,Python,2020-10-01T17:52:27.908Z,"A Pytorch Implementation of ""Attention is All You Need"" and ""Weighted <em>Transformer</em> Network for Machine Translation""","machine-translation,attention-mechanism,attention-is-all-you-need,self-attention",False,True,116213876,Public
poloclub/<em>transformer</em>-explainer,7579,JavaScript,2026-05-21T18:06:08.274Z,<em>Transformer</em> Explained Visually: Learn How LLM <em>Transformer</em> Models Work with Interactive Visualization,"visualization,deep-learning,gpt,langauge-model,llm,generative-ai",False,True,801763739,Public
kimiyoung/<em>transformer</em>-xl,3704,Python,2022-09-21T06:22:01.681Z,,,False,True,164642888,Public
kingoflolz/mesh-<em>transformer</em>-jax,6370,Python,2023-01-21T00:09:29.287Z,Model parallel <em>transformers</em> in JAX and Haiku,,False,True,347502287,Public
typestack/class-<em>transformer</em>,7331,TypeScript,2026-05-22T11:06:41.833Z,"Decorator-based transformation, serialization, and deserialization between objects and classes. ","typescript,transformation,exposing-properties,exposing-getters",False,True,51368212,Public
spring-media/<em>Transformer</em>TTS,1162,Python,2024-05-03T19:50:55.873Z,🤖💬 <em>Transformer</em> TTS: Implementation of a non-autoregressive <em>Transformer</em> based neural network for text to speech.,"python,text-to-speech,deep-learning,tensorflow,tts,axelspringerai",False,True,250279308,Public archive
lucidrains/x-<em>transformers</em>,5864,Python,2026-05-19T01:01:21.593Z,A concise but complete full-attention <em>transformer</em> with a set of promising experimental features from various papers,"deep-learning,transformers,artificial-intelligence,attention-mechanism",False,True,306980630,Public
NVIDIA/Megatron-LM,16430,Python,2026-05-23T17:32:46.087Z,Ongoing research training <em>transformer</em> models at scale,"transformers,model-para,large-language-models",False,True,176982014,Public
transformerlab/<em>transformerlab</em>-app,5016,Python,2026-05-23T16:16:13.416Z,"The open source research environment for AI researchers to seamlessly train, evaluate, and scale models from local hardware to GPU clusters.","electron,transformers,llama,lora,diffusion,mlx,diffusion-models,llms,stability-diffusion,rlhf",True,True,735425203,Public
sannykim/<em>transformer</em>,572,,2023-11-25T04:19:21.774Z,A collection of resources to study <em>Transformers</em> in depth.,,False,True,205401185,Public
zyds/<em>transformers</em>-code,3981,Jupyter Notebook,2024-07-15T16:29:29.034Z,手把手带你实战 Huggingface <em>Transformers</em> 课程视频同步更新在B站与YouTube,"transformers,peft,huggingface",False,True,639001213,Public
EleutherAI/lm-evaluation-harness,12661,Python,2026-05-11T14:24:53.881Z,A framework for few-shot evaluation of language models.,"transformer,language-model,evaluation-framework",False,True,290909192,Public
LaoGong-zp/<em>Transformer</em>,500,Jupyter Notebook,2021-09-28T08:29:39.326Z," Learning materials of <em>Transformer</em>, including my code, XMind, PDF and so on",,False,True,409816491,Public
huggingface/trl,18449,Python,2026-05-22T20:29:56.414Z,Train <em>transformer</em> language models with reinforcement learning.,,False,True,250510075,Public
jamescalam/<em>transformers</em>,597,Jupyter Notebook,2023-10-30T20:49:50.861Z,,,False,True,341306723,Public
p-e-w/heretic,21263,Python,2026-05-22T09:30:16.735Z,Fully automatic censorship removal for language models,"transformer,llm,abliteration",False,True,1061041576,Public
kzl/decision-<em>transformer</em>,2803,Python,2024-04-29T01:30:45.760Z,Official codebase for Decision <em>Transformer</em>: Reinforcement Learning via Sequence Modeling.,,False,True,373111497,Public
